0000000002,CENTRO REHABILITACION ENFERMO MENTAL,N,N,00,240,027,160113,0870,N,N,05,N,0000000002,1,00,00,GOBIERNO REGIONAL,S|
0000000283,SAN LUIS DE TACSHA CURARAY,S,N,01,240,027,160107,0870,N,N,01,N,0000000283,0,06,02,GOBIERNO REGIONAL,S|
0000000594,POMACOCHA,N,N,00,170,019,120701,0827,N,N,01,N,0000000594,1,03,01,GOBIERNO REGIONAL,S|
0000001025,YANATAMBON,S,N,01,270,026,190108,0889,N,N,01,N,0000001025,0,01,01,GOBIERNO REGIONAL,S|
0000001117,PUERTO VICTORIA,S,N,01,270,026,190306,0891,N,N,01,N,0000001117,1,03,05,GOBIERNO REGIONAL,S|
0000001240,TERMINAL AEREO,N,N,00,040,006,040104,1222,N,N,01,N,0000001240,1,03,09,GOBIERNO REGIONAL,S|
0000001756,ACAS,N,N,00,020,002,021402,0740,N,N,01,N,0000001756,0,01,15,GOBIERNO REGIONAL,S|
0000001757,PUESTO DE SALUD CAJAMARQUILLA,S,N,01,020,002,021403,0740,N,N,01,N,0000001757,0,01,15,GOBIERNO REGIONAL,S|
0000001761,PUESTO DE SALUD LLIPA,S,N,01,020,002,021407,0740,N,N,01,N,0000001761,0,01,15,GOBIERNO REGIONAL,S|
0000001764,PUESTO DE SALUD CHILCAS,S,N,01,020,002,021410,0740,N,N,01,N,0000001764,0,01,15,GOBIERNO REGIONAL,S|
0000002097,P.S CONVENIO EJIDOS DE HUAN,N,N,00,280,030,200101,0899,N,N,01,N,0000002097,1,01,01,GOBIERNO REGIONAL,S|
0000002491,LUCMAHUAYCO,S,N,01,110,013,080911,1170,S,N,01,N,0000002491,0,03,06,GOBIERNO REGIONAL,S|
0000002547,COLLPANI,S,N,01,110,013,081304,1348,N,N,01,N,0000002547,0,02,07,GOBIERNO REGIONAL,S|
0000002722,AA.HH. PUEBLO VIEJO,S,N,02,250,028,170101,0879,N,N,01,N,0000002722,0,01,01,GOBIERNO REGIONAL,S|
0000003180,CAYARANI,S,N,01,290,042,210807,0915,N,N,01,N,0000003180,0,10,02,GOBIERNO REGIONAL,S|
0000003262,LLAVINI,N,N,00,290,032,210101,0919,N,N,01,N,0000003262,1,01,01,GOBIERNO REGIONAL,S|
0000003267,YANAMAYO,N,N,00,290,032,210101,0919,N,N,01,N,0000003267,1,01,01,GOBIERNO REGIONAL,S|
0000003406,LOS CALDERONES,S,N,01,150,017,110113,1223,N,N,01,N,0000003406,0,01,05,GOBIERNO REGIONAL,S|
0000004351,POMAPE,S,N,01,190,021,140108,0860,N,N,01,N,0000004351,0,01,10,GOBIERNO REGIONAL,S|
0000004352,VALLE HERMOSO,S,N,01,190,021,140108,0860,N,N,01,N,0000004352,0,01,10,GOBIERNO REGIONAL,S|
0000005982,CENTRO REFERENCIAL ESPECIALIZADO EN REHABILITACION Y TERAPIA FISICA DE CHOSICA,S,N,03,210,024,150118,1686,N,N,01,N,0000005982,0,00,00,MINSA,S|
0000005984,CENTRO VETERINARIO Y ZOONOSIS,N,N,00,210,024,150118,1686,N,N,01,N,0000005984,1,01,08,MINSA,S|
0000006070,PAPA LEON XIII,N,N,00,220,023,150505,1291,N,N,01,N,0000006070,1,08,02,GOBIERNO REGIONAL,S|
0000006183,CENTRO DE SALUD TODOS LOS SANTOS SAN BORJA,S,N,03,036,039,150130,1683,N,N,01,N,0000006183,0,00,00,MINSA,S|
0000006202,CENTRO DE SALUD CONTROL DE ZOONOSIS,S,N,03,036,039,150101,1683,N,N,01,N,0000006202,0,21,01,MINSA,S|
0000006203,CENTRO ESPECIALIZADO DE REFERENCIA DE ITSS Y VIH/SIDA RAUL PATRUCCO PUIG,S,N,03,036,039,150101,1683,N,N,01,N,0000006203,0,00,00,MINSA,S|
0000006204,LABORATORIO DE REFERENCIA DE SALUD PUBLICA,N,N,00,036,039,150120,1683,N,N,01,N,0000006204,0,00,00,MINSA,S|
0000006205,CENTRO S. ESPECIALIZ. VACUNACION INTERNACION,N,N,00,036,039,150131,1683,N,N,01,N,0000006205,0,00,00,MINSA,S|
0000006214,HOSPITAL VICTOR LARCO HERRERA,N,S,16,036,039,150120,0148,N,N,01,N,0000006214,0,00,00,MINSA,S|
0000006237,CENTRO DE DESARROLLO JUVENIL DEL CALLAO,S,N,02,080,012,070101,1316,N,N,01,N,0000006237,1,01,05,GOBIERNO REGIONAL,S|
0000006656,PUESTO DE SALUD  SAN JOSE DE SOCOS,S,N,01,050,007,050505,1489,S,N,01,N,0000006656,0,03,04,GOBIERNO REGIONAL,S|
0000006676,HUANCHAY,S,N,01,140,015,100701,1110,N,N,01,N,0000006676,0,02,05,GOBIERNO REGIONAL,S|
0000006685,MARAY,N,N,00,220,023,150804,1286,N,N,01,N,0000006685,1,02,05,GOBIERNO REGIONAL,S|
0000006686,LA TABLADA,N,N,00,220,023,150810,1286,N,N,01,N,0000006686,1,02,01,GOBIERNO REGIONAL,S|
0000006751,CENTRO DOCENTE MATERNO INFANTIL-UNSCH,S,N,01,050,007,050101,0774,N,N,01,N,0000006751,1,01,02,GOBIERNO REGIONAL,S|
